iter	Passed	Remaining
0	11	96560
1	20	85230
2	33	90239
3	42	86010
4	54	88671
5	65	88889
6	75	88154
7	86	88144
8	96	87850
9	102	84228
10	108	80765
11	113	77361
12	119	75339
13	126	73931
14	134	73106
15	140	71839
16	148	71602
17	156	71123
18	162	70023
19	170	69835
20	177	69036
21	182	67901
22	190	67520
23	196	66925
24	203	66516
25	209	65786
26	216	65354
27	221	64570
28	226	63783
29	232	63211
30	239	63011
31	246	62944
32	255	63081
33	262	62992
34	272	63593
35	280	63530
36	291	64224
37	300	64417
38	310	64807
39	317	64712
40	323	64341
41	332	64597
42	338	64200
43	344	63806
44	351	63687
45	357	63343
46	366	63564
47	375	63762
48	383	63788
49	390	63556
50	398	63546
51	404	63317
52	411	63229
53	420	63397
54	428	63411
55	433	62988
56	440	62820
57	446	62638
58	451	62279
59	457	61958
60	461	61579
61	467	61297
62	472	60966
63	477	60644
64	482	60344
65	488	60165
66	496	60229
67	504	60248
68	510	60101
69	517	60053
70	525	60054
71	531	59955
72	539	60002
73	545	59791
74	549	59523
75	554	59231
76	559	58942
77	564	58676
78	569	58440
79	574	58233
80	580	58104
81	585	57953
82	593	57965
83	600	57934
84	606	57815
85	612	57737
86	617	57541
87	622	57285
88	626	57031
89	630	56779
90	635	56567
91	639	56322
92	644	56107
93	648	55888
94	653	55706
95	657	55475
96	662	55304
97	668	55174
98	672	54952
99	677	54804
100	681	54597
101	686	54439
102	690	54238
103	694	54038
104	699	53866
105	705	53779
106	711	53744
107	717	53710
108	722	53588
109	727	53469
110	733	53395
111	739	53339
112	744	53246
113	749	53120
114	756	53155
115	764	53231
116	771	53253
117	778	53275
118	786	53362
119	795	53533
120	803	53589
121	809	53540
122	816	53593
123	824	53622
124	832	53723
125	839	53772
126	849	53958
127	856	53942
128	863	53959
129	870	53981
130	877	54002
131	884	54036
132	894	54216
133	902	54264
134	911	54396
135	919	54457
136	927	54558
137	936	54675
138	945	54793
139	954	54896
140	963	54998
141	968	54922
142	975	54900
143	981	54835
144	987	54786
145	992	54702
146	997	54615
147	1003	54552
148	1010	54538
149	1016	54499
150	1023	54504
151	1033	54657
152	1041	54715
153	1048	54705
154	1054	54694
155	1060	54619
156	1065	54545
157	1070	54436
158	1075	54327
159	1080	54252
160	1085	54141
161	1090	54060
162	1096	53991
163	1102	53992
164	1112	54108
165	1117	54046
166	1122	53945
167	1127	53851
168	1133	53791
169	1138	53714
170	1143	53621
171	1148	53559
172	1153	53447
173	1158	53369
174	1163	53317
175	1169	53269
176	1176	53290
177	1183	53268
178	1192	53372
179	1199	53378
180	1206	53416
181	1213	53408
182	1220	53418
183	1228	53449
184	1234	53415
185	1239	53347
186	1244	53292
187	1250	53234
188	1256	53197
189	1261	53128
190	1267	53093
191	1272	53026
192	1277	52964
193	1284	52947
194	1290	52904
195	1294	52828
196	1302	52874
197	1311	52949
198	1320	53024
199	1326	52998
200	1333	53019
201	1343	53139
202	1354	53323
203	1361	53294
204	1365	53209
205	1371	53177
206	1377	53138
207	1384	53129
208	1391	53159
209	1399	53180
210	1403	53096
211	1408	53014
212	1414	52979
213	1421	52991
214	1426	52933
215	1433	52915
216	1439	52895
217	1445	52867
218	1450	52802
219	1455	52753
220	1460	52674
221	1465	52624
222	1472	52612
223	1478	52586
224	1484	52563
225	1489	52511
226	1496	52496
227	1500	52429
228	1505	52364
229	1511	52325
230	1516	52252
231	1521	52206
232	1527	52165
233	1532	52108
234	1537	52051
235	1541	51983
236	1547	51948
237	1552	51890
238	1557	51823
239	1563	51787
240	1567	51718
241	1573	51679
242	1578	51642
243	1584	51602
244	1588	51535
245	1593	51463
246	1597	51386
247	1602	51330
248	1608	51325
249	1615	51310
250	1620	51268
251	1625	51202
252	1629	51142
253	1636	51131
254	1641	51088
255	1647	51067
256	1653	51045
257	1659	51034
258	1664	50991
259	1670	50961
260	1675	50918
261	1680	50851
262	1686	50844
263	1692	50828
264	1698	50817
265	1708	50903
266	1716	50940
267	1724	50994
268	1732	51021
269	1740	51061
270	1747	51088
271	1757	51173
272	1767	51258
273	1776	51334
274	1785	51415
275	1795	51510
276	1804	51575
277	1815	51680
278	1828	51871
279	1840	52007
280	1852	52157
281	1869	52426
282	1875	52413
283	1882	52410
284	1891	52474
285	1898	52493
286	1910	52609
287	1921	52744
288	1934	52900
289	1944	52983
290	1953	53050
291	1966	53201
292	1975	53254
293	1983	53285
294	1991	53314
295	2003	53437
296	2011	53460
297	2017	53450
298	2026	53483
299	2035	53549
300	2042	53549
301	2048	53510
302	2054	53494
303	2063	53534
304	2069	53524
305	2075	53488
306	2080	53433
307	2085	53373
308	2094	53424
309	2099	53379
310	2104	53322
311	2109	53277
312	2115	53244
313	2121	53222
314	2126	53184
315	2134	53202
316	2140	53173
317	2147	53165
318	2156	53215
319	2163	53222
320	2172	53263
321	2178	53234
322	2183	53205
323	2188	53150
324	2194	53112
325	2199	53077
326	2208	53106
327	2217	53177
328	2225	53196
