iter	MultiClass
0	2.102025612
1	1.899859501
2	1.743567019
3	1.625201411
4	1.537787445
5	1.440581236
6	1.357927118
7	1.307653339
8	1.229914154
9	1.164812158
10	1.114234863
11	1.063038802
12	1.033801448
13	0.9976537176
14	0.9543977445
15	0.9170423854
16	0.8930499104
17	0.8625326644
18	0.833934237
19	0.8085629715
20	0.7924661988
21	0.7681082181
22	0.7553110034
23	0.7379194881
24	0.7205833795
25	0.7065014995
26	0.6945011925
27	0.6786953778
28	0.65952416
29	0.6477012207
30	0.6342370093
31	0.620152664
32	0.6083093397
33	0.5989710689
34	0.5880365275
35	0.5787801179
36	0.5688471375
37	0.5605549809
38	0.5536778564
39	0.5468271107
40	0.5388633203
41	0.5324498328
42	0.5242567212
43	0.5167948581
44	0.5102762943
