iter	Passed	Remaining
0	8	72437
1	18	76909
2	26	73134
3	36	75184
4	45	74025
5	52	71889
6	60	70618
7	69	71418
8	79	72371
9	88	72443
10	98	72901
11	107	73115
12	118	74643
13	128	75011
14	137	74878
15	147	75262
16	158	76160
17	167	76141
18	177	76453
19	187	76426
20	199	77499
21	210	78196
22	220	78150
23	229	78059
24	236	77334
25	246	77266
26	256	77600
27	267	77881
28	276	77863
29	289	78627
30	298	78602
31	309	78930
32	317	78618
33	326	78298
34	334	77881
35	342	77557
36	350	77250
37	360	77356
38	371	77562
39	381	77846
40	389	77501
41	397	77223
42	409	77574
43	418	77517
44	427	77432
