iter	Passed	Remaining
0	2	21611
1	4	19884
2	7	19697
3	10	21291
4	12	20872
5	15	20606
6	17	20287
7	19	20302
8	23	21754
9	27	22312
10	29	22080
11	32	21840
12	34	21695
13	36	21366
14	40	21829
15	44	22537
16	47	22711
17	49	22694
18	52	22431
19	55	22525
20	57	22354
21	60	22294
22	64	22837
23	67	22820
24	69	22778
25	72	22864
26	75	22848
27	77	22711
28	80	22544
29	82	22397
30	85	22391
31	87	22272
32	90	22357
33	92	22243
34	94	22116
35	97	22025
36	99	21942
37	101	21796
38	103	21675
39	106	21804
40	109	21770
41	111	21716
42	114	21705
43	117	21688
44	119	21612
45	122	21605
46	124	21574
47	128	21769
48	130	21731
49	133	21659
50	136	21734
51	140	22069
52	144	22197
53	148	22347
54	150	22271
55	152	22207
56	155	22155
57	157	22090
58	159	22040
59	162	21971
60	164	21978
61	167	21932
62	170	21955
63	172	21943
64	175	21928
65	178	21980
66	182	22107
67	185	22207
68	191	22488
69	194	22570
70	199	22770
71	203	22900
72	206	22946
73	209	22948
74	212	22960
75	215	22972
76	218	23014
77	222	23175
78	225	23186
79	228	23147
80	230	23104
81	232	23041
82	235	23045
83	238	23009
84	241	23045
85	244	23025
86	247	23016
87	249	22956
88	251	22888
89	253	22851
90	256	22792
91	258	22744
92	260	22703
93	263	22665
94	265	22635
95	267	22591
96	270	22559
97	273	22564
98	275	22554
99	278	22513
100	281	22590
101	285	22622
102	288	22650
103	292	22711
104	294	22708
105	297	22704
106	301	22777
107	303	22741
108	307	22766
109	310	22787
110	312	22771
111	315	22764
112	317	22734
113	320	22709
114	322	22667
115	325	22631
116	327	22590
117	329	22556
118	332	22524
119	334	22484
120	336	22443
121	338	22418
122	341	22396
123	343	22374
124	346	22341
125	348	22339
126	351	22300
127	353	22269
128	355	22248
129	358	22217
130	361	22247
131	365	22299
132	368	22355
133	373	22431
134	376	22469
135	379	22479
136	381	22449
137	384	22435
138	386	22420
139	389	22396
140	392	22405
141	395	22440
142	398	22404
143	400	22399
144	403	22386
145	405	22340
146	407	22309
147	409	22280
148	412	22288
149	415	22274
150	418	22282
151	420	22262
152	425	22350
153	427	22328
154	430	22313
155	432	22284
156	434	22251
157	437	22223
158	440	22262
159	443	22265
160	447	22299
161	450	22307
162	452	22311
163	457	22383
164	460	22424
165	464	22438
166	467	22459
167	470	22454
168	472	22429
169	475	22420
170	477	22405
171	480	22387
172	482	22379
173	485	22389
174	488	22370
175	490	22358
176	493	22340
177	495	22322
178	498	22307
179	500	22295
180	504	22327
181	507	22318
182	509	22303
183	512	22294
184	514	22281
185	517	22273
186	519	22256
187	523	22271
188	526	22287
189	529	22280
190	531	22265
191	534	22280
192	537	22292
193	540	22297
194	543	22300
195	546	22298
196	549	22306
197	552	22313
198	556	22341
199	559	22338
200	561	22334
201	564	22311
202	566	22304
203	570	22343
204	573	22325
205	575	22299
206	577	22283
207	579	22258
208	582	22259
209	584	22232
210	587	22206
211	589	22187
212	592	22183
213	594	22163
214	597	22172
215	599	22148
216	602	22131
217	604	22115
218	608	22135
219	611	22140
220	613	22117
221	615	22089
222	617	22067
223	620	22061
224	622	22044
225	624	22020
226	627	22011
227	629	21991
228	631	21969
229	635	21996
230	638	21990
231	640	21980
232	643	21982
233	646	21981
234	649	22005
235	653	22029
236	655	22015
237	658	22008
238	661	22001
239	664	22000
240	666	21989
241	669	21981
242	671	21973
243	674	21961
244	678	21998
245	681	22018
246	684	22013
247	686	22002
248	689	21994
249	691	21982
250	694	21972
251	697	21961
252	699	21947
253	701	21936
254	704	21926
255	707	21930
256	710	21925
257	712	21915
258	715	21904
259	717	21893
260	720	21901
261	723	21889
262	726	21894
263	728	21885
264	732	21925
265	737	21976
266	740	21976
267	744	22006
268	748	22040
269	750	22030
270	754	22047
271	758	22078
272	761	22095
273	764	22095
274	767	22083
275	770	22087
276	772	22085
277	775	22089
278	778	22085
279	781	22085
280	784	22077
281	786	22069
282	789	22067
283	792	22055
284	794	22048
285	797	22038
286	799	22023
287	802	22014
288	804	22007
289	807	21996
290	809	21986
291	812	21980
292	814	21969
293	817	21963
294	820	21956
295	822	21943
296	825	21936
297	828	21941
298	831	21939
299	835	21986
300	839	22014
301	843	22031
302	846	22050
303	851	22105
304	855	22133
305	860	22174
306	864	22197
307	867	22211
308	870	22204
309	873	22205
310	876	22202
311	879	22208
312	881	22187
313	884	22190
