iter	RMSE
0	0.03005707875
1	0.02977722413
2	0.02961223651
3	0.02938178201
4	0.02912749361
5	0.02889621085
6	0.02870798224
7	0.02860438708
8	0.02845450249
9	0.02827258211
10	0.02821570755
11	0.02814523602
12	0.02803853229
13	0.02789072065
14	0.02778185936
15	0.02765033891
16	0.02760025319
17	0.0275006402
18	0.02743413619
19	0.02733829457
20	0.02729393505
21	0.02726312284
22	0.02722509173
23	0.02711614086
24	0.02707632424
25	0.02696067923
26	0.02690077168
27	0.0268171063
28	0.02674432938
29	0.02670830053
30	0.0266446732
31	0.0265537594
32	0.02651402298
33	0.02647885953
34	0.02644962801
35	0.02639173302
36	0.02634888636
37	0.02630952788
38	0.02626459107
39	0.02618178536
40	0.02616439043
41	0.02610515097
42	0.02608761352
43	0.02606180911
44	0.02603991157
45	0.02600948747
46	0.02597149848
47	0.0259161231
48	0.02586885963
49	0.0258257419
50	0.02579207438
