iter	MultiClass
0	2.672077135
1	2.514947104
2	2.382893028
3	2.282437648
4	2.205185939
5	2.140526957
6	2.075148693
7	2.022644145
8	1.973536161
9	1.927984711
10	1.882719601
11	1.842128853
12	1.81268635
13	1.780516553
14	1.753667313
15	1.725168665
16	1.704009445
17	1.682331611
18	1.662649768
19	1.642428542
20	1.624992365
21	1.60787723
22	1.588085316
23	1.571008636
24	1.558650123
25	1.545051351
26	1.531557355
27	1.51904693
28	1.505861113
29	1.495608375
30	1.48331402
31	1.472980115
32	1.459415454
33	1.44887497
34	1.439732908
35	1.429534044
36	1.419371889
37	1.412816957
38	1.404834454
39	1.393622441
40	1.385104426
41	1.376496024
42	1.369483141
43	1.360848782
44	1.353921535
45	1.344468288
46	1.337940671
47	1.330711635
48	1.322518989
49	1.315969593
50	1.308010747
51	1.301435074
52	1.293500223
53	1.287228595
54	1.280823474
55	1.27570014
56	1.271824017
57	1.267679659
58	1.261764842
59	1.255243066
60	1.249321342
61	1.24384279
62	1.238081686
63	1.234323646
64	1.226633061
65	1.221043491
66	1.213643362
67	1.208400924
68	1.202696055
69	1.196298238
70	1.190516945
71	1.186673405
72	1.182013506
73	1.177894658
74	1.173185395
75	1.168402927
76	1.162322169
77	1.157384859
78	1.151555886
79	1.147826004
80	1.141970848
81	1.137956025
82	1.134342935
83	1.129737697
84	1.126943407
85	1.122493158
86	1.117666951
87	1.112492993
88	1.1079454
89	1.104055991
90	1.09906162
91	1.0952185
92	1.090564179
93	1.087701911
94	1.083820855
95	1.080815871
96	1.077213978
97	1.072895789
98	1.069576594
99	1.065849181
100	1.062279171
101	1.0589681
102	1.054917604
103	1.050848294
104	1.047720044
105	1.044247624
106	1.040333694
107	1.035650088
108	1.032155631
109	1.02799088
110	1.02580173
111	1.023222418
112	1.019611888
113	1.015606986
114	1.011455932
115	1.008406749
116	1.005345258
117	1.003153867
118	1.001122616
119	0.9985550745
120	0.9946112041
121	0.9903662125
122	0.9881352762
123	0.9856755474
124	0.9831007544
125	0.9797267298
126	0.9762975238
127	0.9730022026
128	0.970087879
129	0.966603321
130	0.9637457629
131	0.960612509
132	0.9568297779
133	0.9538115921
134	0.9509965322
135	0.9470942792
136	0.9442947083
137	0.9423198973
138	0.9390331016
139	0.9362068937
140	0.9337097452
141	0.9312297366
142	0.9288100807
143	0.9263357994
144	0.923559077
145	0.9211029237
146	0.9190904536
147	0.9175609426
148	0.9158737119
149	0.9137061674
150	0.9107528873
151	0.9088744828
152	0.906501603
153	0.9046379465
154	0.9024446004
155	0.9003791134
156	0.8975790365
157	0.8954274278
158	0.8930555876
159	0.8913693369
160	0.889248073
161	0.8866118625
162	0.884447259
163	0.8826995188
164	0.8791700624
165	0.8772074808
166	0.8743684818
167	0.8723988935
168	0.8698602523
169	0.8673236249
170	0.864597554
171	0.8623846537
172	0.8600188679
173	0.8585286069
174	0.8571062773
175	0.8549300223
176	0.8533759705
177	0.8515618417
178	0.8491397344
179	0.8473886151
180	0.845691986
181	0.8430171696
182	0.8409725222
183	0.8392919563
184	0.8370248915
185	0.8343262592
186	0.8325717071
187	0.830978256
188	0.829901732
189	0.8285675839
190	0.8267632547
191	0.8243735258
192	0.8220994223
193	0.8206931166
194	0.8184148021
195	0.8162294468
196	0.8140790402
197	0.8125529646
198	0.8113948364
199	0.8101502299
200	0.8088578409
201	0.8063851947
202	0.8046428404
203	0.8028740153
204	0.8015928202
205	0.7989687427
206	0.7974006929
207	0.7957772863
208	0.7935853549
209	0.7923985782
210	0.7905573445
211	0.7890143554
212	0.7879218757
213	0.7863138091
214	0.7850639695
215	0.7841329426
216	0.7826988924
217	0.7808732254
218	0.7793217611
219	0.7779285178
220	0.7767392913
221	0.7753888379
222	0.7740970874
223	0.7727414886
224	0.771248018
225	0.7697982036
226	0.7676596611
227	0.7660335029
228	0.7641004847
229	0.7630301287
230	0.7605822901
231	0.7582299582
232	0.7566100948
233	0.7554475532
234	0.7541247336
235	0.7526060523
236	0.7511007239
237	0.748887913
238	0.7478862543
239	0.7466988806
240	0.7447944299
241	0.7432041725
242	0.7418816163
243	0.7407111927
244	0.738516533
245	0.7372268648
246	0.7362127354
247	0.7350201412
248	0.7339543324
249	0.7328420992
250	0.7311532767
251	0.7293094923
252	0.7276565597
253	0.7265702287
254	0.7249383905
255	0.7241131368
256	0.7223907806
257	0.7211343541
258	0.719466803
259	0.7185446233
260	0.7174682185
261	0.7158278642
262	0.714572084
263	0.7136213398
264	0.7121627968
265	0.7107329217
266	0.7093696596
267	0.7082196506
268	0.7072948882
269	0.7058315145
270	0.7049676787
271	0.704026822
272	0.702275106
273	0.7013679943
274	0.7003947851
275	0.6986904579
276	0.6980463382
277	0.6971044223
278	0.6955895673
279	0.6939455963
280	0.6926008376
281	0.6914675802
282	0.6907082173
283	0.6894372861
284	0.6887868006
285	0.6871197795
286	0.6863363309
287	0.6849578809
288	0.6842070218
289	0.6831332139
290	0.6814114262
291	0.6805047918
292	0.6790509735
293	0.678124369
294	0.6771167941
295	0.6760766535
296	0.6745006713
297	0.6733449289
298	0.6725103982
299	0.6714559387
300	0.6696909771
301	0.6683105568
302	0.6670685095
303	0.6658505162
304	0.6650233839
305	0.6637721372
306	0.6623316027
307	0.6610761893
308	0.6596533376
309	0.6583819956
310	0.6572933857
311	0.656222701
312	0.6551493717
313	0.6543728273
314	0.6531489656
315	0.6520959985
316	0.6509249669
317	0.6497542637
318	0.6486501737
319	0.6476166139
320	0.6465694186
321	0.6454191896
322	0.6442847495
323	0.6435070166
324	0.6426784201
325	0.6415788957
326	0.6403186364
327	0.6396072435
328	0.6382897317
329	0.6376425711
330	0.6364477388
331	0.6353328059
332	0.6342208809
333	0.6335722933
334	0.6328619382
335	0.6318577552
336	0.6311083943
337	0.6302949273
338	0.62969755
339	0.6283964222
340	0.6272883407
341	0.626505033
342	0.6258291907
343	0.6248011217
344	0.6237048509
345	0.6227475478
346	0.6216063806
347	0.6201771747
348	0.6195485579
349	0.618642779
350	0.6179603564
351	0.6169578594
352	0.6159542646
353	0.6149256999
354	0.6138663834
355	0.6131264063
356	0.6123601663
357	0.6114258257
358	0.6101897128
359	0.6091438169
360	0.6078494708
361	0.6071402422
362	0.6059913736
363	0.6047755884
364	0.6035688975
365	0.6026134571
366	0.6019703276
367	0.601171485
368	0.6000183082
369	0.5992552412
370	0.5982314558
371	0.5976360341
372	0.5969127507
373	0.5963010671
374	0.5956916555
375	0.594556131
376	0.5938012247
377	0.5932137743
378	0.592180324
379	0.5913274127
380	0.5906106031
381	0.5900127344
382	0.5891482662
383	0.588001407
384	0.5871719126
385	0.5863783563
386	0.585719515
387	0.5851163262
388	0.5841067076
389	0.5833446276
390	0.5828045173
391	0.5818937079
392	0.5811570277
393	0.5804262111
394	0.5794891929
395	0.5788586204
396	0.5779763289
397	0.577196991
398	0.5763871082
399	0.5756303338
400	0.5748220534
401	0.5738950261
402	0.5730799904
403	0.5726318535
404	0.5719032198
405	0.5707987107
406	0.5702798789
407	0.5695696267
408	0.569164927
409	0.5685571532
410	0.5680612307
411	0.5671878255
412	0.5665924432
413	0.5659197858
414	0.565342229
415	0.5641581119
416	0.5632770827
417	0.5628507174
418	0.5621770413
419	0.5613816029
420	0.5607667393
421	0.5600724076
422	0.5592671362
423	0.5583212571
424	0.5572434775
425	0.5565237212
426	0.5557382463
427	0.5551678217
428	0.5546578148
429	0.5540351632
430	0.5532745264
431	0.5523960363
432	0.5518269151
433	0.5508978022
434	0.5500155726
435	0.5496275656
436	0.5490483605
437	0.5481174119
438	0.547648274
439	0.5470262581
440	0.5460836612
441	0.5451900014
442	0.5442461088
443	0.5436271322
444	0.5427800609
445	0.5422345592
446	0.5416441805
447	0.541208348
448	0.5404633729
449	0.5397230122
450	0.5388701931
451	0.5381570873
452	0.5373818097
453	0.5363729758
454	0.5359985486
455	0.5352444302
456	0.5344507416
457	0.5338067412
458	0.5332350039
459	0.5325675132
460	0.5320300069
461	0.5312954461
462	0.5309085546
463	0.530414541
464	0.5299897196
465	0.529237154
466	0.5287682507
467	0.5281534496
468	0.5276303635
469	0.527074956
470	0.5263360677
471	0.5256256414
472	0.5250604834
473	0.5244803897
474	0.523598767
475	0.5230342343
476	0.5224492337
477	0.5216721024
478	0.520802662
479	0.5200387431
480	0.5192759888
481	0.518798374
482	0.5182328661
483	0.5175065816
484	0.5169696115
485	0.5165345848
486	0.5159918469
487	0.5154365553
488	0.5148286309
489	0.5142887885
490	0.5137622595
491	0.512811288
492	0.5119459129
493	0.5114782487
494	0.5108314144
495	0.5101390884
496	0.5094717692
497	0.5091172256
498	0.5087352419
499	0.508395444
500	0.5078679837
501	0.5073980962
502	0.5068772838
503	0.5064855566
504	0.5058586758
505	0.505361987
506	0.5047683988
507	0.5042633839
508	0.5037028309
509	0.5029406135
510	0.5024982217
511	0.5016900541
512	0.5011827868
513	0.5005180109
514	0.4997972939
515	0.4992671712
516	0.4988336935
517	0.4982664025
518	0.4974704632
519	0.4968978803
520	0.4964958863
521	0.495878775
522	0.4954374576
523	0.4948476063
524	0.4944532252
525	0.4940247326
526	0.4934806765
527	0.4930761678
528	0.4925688645
529	0.492047919
530	0.4915888029
531	0.490870949
532	0.4905046942
533	0.4900413728
534	0.4894934576
535	0.4891075755
536	0.4884373239
537	0.4878740753
538	0.4872375935
539	0.4863482758
540	0.48588018
541	0.4851284873
542	0.4846755079
543	0.4842366751
544	0.483653063
545	0.4831598141
546	0.4824960144
547	0.4819880106
548	0.4815179834
549	0.4809864615
550	0.480433199
551	0.4798809206
552	0.4794568484
553	0.4789471326
554	0.4786093213
555	0.4781033877
556	0.477241381
557	0.4767113397
558	0.4761410962
559	0.4755459749
560	0.4751983714
561	0.4745742255
562	0.4739892287
563	0.473562526
564	0.4728417931
565	0.4724539596
566	0.4717142223
567	0.4712725239
568	0.4707864134
569	0.4703227101
570	0.4697804863
571	0.4694244591
572	0.4689166303
573	0.4686607138
574	0.4680761723
575	0.4673917715
576	0.4667745953
577	0.4661621928
578	0.4657446277
579	0.4652556895
580	0.4646519183
581	0.4641390698
582	0.4636120898
583	0.4633094138
584	0.4629386483
585	0.4622287766
586	0.461736779
587	0.4613082611
588	0.4608495503
589	0.4603185656
590	0.4599411854
591	0.4594503279
592	0.4589494677
593	0.4582991286
594	0.4578591894
595	0.4575378308
596	0.4567896331
597	0.456249869
598	0.4556933929
599	0.4551698686
600	0.454620411
601	0.4540230477
602	0.453610806
603	0.4532081113
604	0.4526910318
605	0.4520289384
606	0.451378432
607	0.4508818042
608	0.4504250573
609	0.4498485736
610	0.4494040514
611	0.4489838569
612	0.4486075419
613	0.4481627891
614	0.4476920606
615	0.4471570913
616	0.4466581502
617	0.4461863375
618	0.4458177421
619	0.4453370516
620	0.4447234039
621	0.4442280921
622	0.4436367932
623	0.4432972168
624	0.4429364224
625	0.4426454281
626	0.4422264551
627	0.441656137
628	0.4412412824
629	0.4408765445
630	0.4404675247
631	0.4400800404
632	0.4396633411
633	0.4393515763
634	0.4388826439
635	0.4385699323
636	0.4381286189
637	0.4375704347
638	0.4371901828
639	0.4367589242
640	0.4361296224
641	0.4356854592
642	0.4353332361
643	0.4348804487
644	0.4343909726
645	0.4337721124
646	0.4332644683
647	0.4328747373
648	0.4324328174
649	0.4319829098
650	0.4314899876
651	0.4310415106
652	0.4306376015
653	0.4301614144
654	0.4296693225
655	0.4290487341
656	0.4286701805
657	0.4282018569
658	0.4278464792
659	0.4274793863
660	0.4269945753
661	0.4266801483
662	0.4262515859
663	0.4256331208
664	0.4253357429
665	0.4250438223
666	0.4247526553
667	0.4242910122
668	0.4239309032
669	0.4235335686
670	0.4230934786
671	0.42255512
672	0.4221397512
673	0.4217278
674	0.4211797213
675	0.4208995053
676	0.4205030551
677	0.4199802353
678	0.41964451
679	0.4193988102
680	0.4190315756
681	0.418488932
682	0.4181401855
683	0.4177259394
684	0.4174026882
685	0.4171341634
686	0.4168698007
687	0.4164237967
688	0.4160140633
689	0.4155327655
690	0.4150340673
691	0.4147340831
692	0.4143781276
693	0.414062159
694	0.4136730242
695	0.4132826494
696	0.4129439348
697	0.4125458832
698	0.4121603276
699	0.4118458408
700	0.4114969012
701	0.4110042338
702	0.4106531372
703	0.4102651938
704	0.409686051
705	0.4092317116
706	0.4088025877
707	0.4084289213
708	0.4079440132
709	0.407531111
710	0.4071077966
711	0.4065478952
712	0.4062370626
713	0.4059217602
714	0.4054348711
715	0.4049815235
716	0.4046984002
717	0.4044042295
718	0.4039231101
719	0.403680051
720	0.4034186254
721	0.4031249524
722	0.4026999746
723	0.4023255769
724	0.4020358853
725	0.4016750506
726	0.4014057151
727	0.4010243888
728	0.4007007736
729	0.400391837
730	0.4000723719
731	0.3995602873
732	0.3992182692
733	0.3987337041
734	0.3984575324
735	0.3981625247
736	0.3977683178
737	0.397293503
738	0.3969421087
739	0.3965041567
740	0.3960670768
741	0.3957303379
742	0.395436545
743	0.3951272044
744	0.3946882794
745	0.3942244693
746	0.3938835476
747	0.3936461153
748	0.3933996272
749	0.3931681448
750	0.3928504219
751	0.3924377677
752	0.3920870519
753	0.3918233841
754	0.3913790578
755	0.3909959088
756	0.390542615
757	0.3901749253
758	0.3898057351
759	0.3895014857
760	0.3892719847
761	0.3889583304
762	0.3886150342
763	0.3882801558
764	0.3879521916
765	0.3876240126
766	0.3873804776
767	0.3869903526
768	0.3866400049
769	0.3862412334
770	0.3859744251
771	0.3855650575
772	0.3851479822
773	0.3846519095
774	0.3843595683
775	0.3841057499
776	0.3838017584
777	0.3835799842
778	0.3831522223
779	0.3828796999
780	0.3824808396
781	0.3821682343
782	0.3816876139
783	0.3814142503
784	0.3811478725
785	0.3808440435
786	0.3803997751
787	0.3800474798
788	0.3796489056
789	0.3793080864
790	0.3789837588
791	0.3787305486
792	0.3784667696
793	0.3781430665
794	0.3777626141
795	0.3774227008
796	0.3770287307
797	0.3765743943
798	0.376326116
799	0.3759849327
800	0.3757235531
801	0.3753962663
802	0.3750236616
803	0.3747167155
804	0.3744912526
805	0.3742606066
806	0.3738833995
807	0.3736719796
808	0.3733836461
809	0.3729879988
810	0.3726258791
811	0.3723413302
812	0.3720535172
813	0.3716753304
814	0.3714586833
815	0.3711289301
816	0.3708336516
817	0.3706125806
818	0.3702761077
819	0.3700141597
820	0.3697342332
821	0.3694841853
822	0.3690559046
823	0.368754792
824	0.3684778423
825	0.3681296701
826	0.3679112775
827	0.3676483877
828	0.3673710549
829	0.3670184787
830	0.3668273326
831	0.3664867931
832	0.3662411605
833	0.3658921669
834	0.3656480525
835	0.365377482
836	0.3651139859
837	0.3649249115
838	0.364496285
839	0.3642592573
840	0.3640070502
841	0.3638159784
842	0.3635267723
843	0.3632956064
844	0.3628310447
845	0.3625479722
846	0.3623127177
847	0.3620512765
848	0.3618180147
849	0.3615350758
850	0.3611601363
851	0.3609458068
852	0.3605398911
853	0.3603026263
854	0.3599083904
855	0.3595906506
856	0.3593643422
857	0.3590881768
858	0.3588596246
859	0.3586182189
860	0.3581845138
861	0.3579212601
862	0.3576640172
863	0.357238462
864	0.3569801177
865	0.3565927376
866	0.3562715489
867	0.355845668
868	0.3555569409
869	0.3551576229
870	0.3548768579
