iter	Passed	Remaining
0	5	42182
1	10	41138
2	15	41134
3	19	40536
4	24	40439
5	29	40147
6	34	40176
7	39	40082
8	43	39865
9	48	39890
10	53	40020
11	60	41494
12	66	41585
13	70	41465
14	75	41296
15	80	40998
16	85	41026
17	90	41031
18	95	41170
19	100	40973
20	105	41144
21	111	41230
22	116	41428
23	122	41771
24	130	42484
25	134	42400
26	140	42347
27	144	42226
28	149	42061
29	154	41957
30	158	41838
31	163	41753
32	168	41692
33	173	41564
34	178	41497
35	182	41378
36	187	41281
37	192	41236
38	196	41115
39	201	41025
40	206	41068
41	212	41286
42	217	41270
43	222	41262
44	228	41279
45	233	41289
46	238	41273
47	243	41271
48	248	41271
49	253	41274
50	259	41351
51	266	41781
52	271	41726
53	276	41673
54	281	41618
55	286	41554
56	290	41475
57	295	41499
58	300	41447
59	305	41434
60	310	41379
61	315	41349
62	322	41632
63	329	41813
64	334	41792
65	339	41775
66	344	41744
67	349	41734
68	359	42272
69	365	42381
70	370	42344
71	375	42303
72	379	42256
73	384	42208
74	389	42165
75	394	42142
76	399	42112
77	406	42237
78	412	42397
79	423	42975
80	429	43054
81	434	43014
82	440	43031
83	445	43001
84	451	43072
85	457	43145
86	462	43125
87	467	43076
88	473	43106
89	478	43098
90	484	43103
91	489	43071
92	494	43050
93	499	43015
94	504	43000
95	509	42973
96	514	42930
97	519	42891
98	524	42860
99	529	42834
100	534	42808
101	539	42822
102	547	43022
103	553	43043
104	559	43089
105	564	43094
106	570	43140
107	575	43094
108	583	43273
109	589	43344
110	595	43338
111	602	43434
112	610	43649
113	615	43626
114	621	43625
115	626	43600
116	632	43671
117	641	43869
118	650	44099
119	659	44330
120	663	44287
121	669	44280
122	675	44337
123	680	44305
124	686	44275
125	691	44275
126	696	44245
127	701	44205
128	706	44179
129	712	44192
130	717	44155
131	723	44154
132	728	44117
133	732	44075
134	738	44089
135	743	44037
136	748	43994
137	753	43947
138	758	43917
139	762	43878
140	768	43882
141	773	43838
142	777	43790
143	782	43752
144	789	43801
145	794	43788
146	799	43750
147	804	43748
148	809	43714
149	815	43694
150	820	43693
151	825	43658
152	830	43617
153	834	43574
154	839	43537
155	844	43497
156	849	43470
157	854	43436
158	859	43428
159	864	43382
160	869	43350
161	873	43310
162	879	43338
163	884	43304
164	889	43282
165	894	43237
166	899	43216
167	904	43223
168	909	43191
169	914	43162
170	919	43126
171	925	43171
172	931	43156
173	936	43144
174	941	43144
175	947	43132
176	951	43102
177	957	43103
178	962	43084
179	967	43052
